Output from CANARY-EDS 5.0
Step,Tag,Status,Probability of Event,Contributing Parameters,Workflow Name,Message,Event Identifier,Event Id (Name or ID),Event Id (Probability),Residuals[TOC, TURB, PH, CL2],
02/21/2006 00:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 00:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 00:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 01:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 01:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 01:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 02:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 02:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 02:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 03:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 03:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 03:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 04:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 04:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 04:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 05:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 05:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 05:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 06:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 06:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 06:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 07:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 07:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 07:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 08:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 08:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 08:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 09:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 09:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 09:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 10:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 10:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 10:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 11:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 11:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 11:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 12:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 12:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 12:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 13:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 13:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 13:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 14:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 14:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 14:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 15:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 15:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 15:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 16:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 16:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 16:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 17:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 17:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 17:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 18:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 18:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 18:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 19:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 19:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 19:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 20:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 20:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 20:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 21:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 21:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 21:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 22:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 22:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 22:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 23:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 23:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/21/2006 23:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 00:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 00:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 00:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 01:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 01:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 01:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 02:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 02:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 02:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 03:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 03:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 03:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 04:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 04:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 04:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 05:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 05:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 05:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 06:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 06:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 06:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 07:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 07:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 07:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 08:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 08:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 08:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 09:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 09:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 09:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 10:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 10:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 10:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 11:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 11:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 11:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 12:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 12:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 12:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 13:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 13:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 13:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 14:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 14:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 14:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 15:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 15:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 15:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 16:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 16:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 16:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 17:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 17:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 17:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 18:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 18:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 18:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 19:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 19:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 19:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 20:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 20:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 20:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 21:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 21:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 21:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 22:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 22:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 22:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 23:00:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 23:20:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/22/2006 23:40:00,StationB,UNINITIALIZED,NaN,,test,5 messages read in,null,null,null,[NaN, NaN, NaN, NaN],
02/23/2006 00:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.175644775871866, 0.200682577182699, 0.0],
02/23/2006 00:20:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.14080449965418507, 0.09895832733667476, -0.013710443774995529],
02/23/2006 00:40:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.17944732011565367, 0.09766158046713813, 0.0],
02/23/2006 01:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.7236460199451622, 0.0, 0.012816654186917464],
02/23/2006 01:20:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.33133907038723576, 0.0952529700522784, 0.012441448468717642],
02/23/2006 01:40:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.18831292435003263, -0.09410025768976182, 0.0],
02/23/2006 02:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.07681253304632463, 0.09313264900943463, -0.011795562152427053],
02/23/2006 02:20:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.0, 0.0, 0.0],
02/23/2006 02:40:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.0, 0.0913879102963917, 0.056282713090984426],
02/23/2006 03:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.19849547064183115, -0.18162817036267187, 0.055100242394308996],
02/23/2006 03:20:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.23197832744127123, -0.2711723680712046, 0.0539978435447761],
02/23/2006 03:40:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.15141361043070622, -0.18011137995473714, 0.010595260023868569],
02/23/2006 04:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.6628876057948312, 0.0, 0.0],
02/23/2006 04:20:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.4595042922878996, -0.08952602331964488, -0.010231579195357998],
02/23/2006 04:40:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.13458217990490207, 0.0, 0.0],
02/23/2006 05:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.16410460554001371, 0.0, 0.0],
02/23/2006 05:20:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.12777015928405433, -0.08889494350527238, 0.0],
02/23/2006 05:40:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.03160584855335813, -0.08870092605318292, 0.0],
02/23/2006 06:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, 0.09339365612364503, -0.17721304150980077, 0.0],
02/23/2006 06:20:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.030707286561490132, -0.17722155544536933, 0.0],
02/23/2006 06:40:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.12175305337104692, -0.2661412190186839, 0.0],
02/23/2006 07:00:00,StationB,NORMAL,0.015625,,test,5 messages read in,null,null,null,[0.0, -0.09034006480832302, -0.08888138629227982, 0.0],
